Kit Name,Product ID,Quantity,,,,
,Universal Cable,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.25,,,,
Xbox One S 1TB White - Kit,Xbox One S White Digital - 1TB,1,,,,
,2 Prong Cables,1,,,,
,Xbox One OEM Controller - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.25,,,,
Xbox One S 500GB White - Kit,Xbox One S Console 500GB - White,1,,,,
,2 Prong Cables,1,,,,
,Xbox One OEM Controller - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.25,,,,
Xbox One White 500GB - Kit,Xbox One Console 500GB - White,1,,,,
,2 Prong Cables,1,,,,
,Xbox One OEM Controller - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.25,,,,
Xbox One Black 1TB - Kit,Xbox One X Console - Black 1TB,1,,,,
,2 Prong Cables,1,,,,
,Xbox One OEM Controller - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.25,,,,
Xbox 360 E 250GB - Kit,Xbox 360 E 250GB - Black,1,,,,
,Xbox 360E Charger,1,,,,
,Xbox 360 OEM Controller - Black,1,,,,
,Universal Cable,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.25,,,,
Xbox 360 Elite 120GB - Black Kit,XBOX 360 ELITE 120 GB - Black,1,,,,
,Xbox 360 Elite 120GB hard drive,1,,,,
,Xbox 360 OEM Controller - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Universal Cable,1,,,,
,Xbox 360 Power Supply,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.25,,,,
Xbox Elite 2 Controller Black - KIT,Microsoft - Xbox Elite Series 2 Complete Component Pack - Black,1,,,,
,Xbox Elite 2 Buttons Black,1,,,,
,Xbox Elite 2 Series OEM Controller - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.05,,,,
Meta Oculus Quest 2 128GB Standalone VR Headset - White - KIT,Meta Oculus Quest 2 128GB Standalone VR Headset - White,1,,,,
,Meta Quest 2 OEM Controller Right,1,,,,
,Meta Quest 2 OEM Controller Left,1,,,,
,Head Strap For MetaQuest 2,1,,,,
,Wrist Strap for MetaQuest 2,1,,,,
,Face Pad For MetaQuest 2,1,,,,
,EyeGlass Space For MetaQuest 2,1,,,,
,USB to USBC cables,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 10,0.16666,,,,
